"""","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　入　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　入　　額"
"平成17年","3910.0","52.8","4564.0","47.57","656565.44","569493.92"
"平成18年","4807.0","22.9","5518.0","20.88","752461.73","673442.93"
"平成19年","5729.0","19.18036197212399","5865.0","6.2885103298296485","839314.3800000001","731359.22"
"平成20年","6433.0","12.288357479490315","7889.0","34.50980392156865","810180.88","789547.52"
"平成21年","4307.0","-33.048344473806935","4278.0","-45.77259475218659","541706.15","514993.77999999997"
"平成22年","4362.0","1.2769909449732921","5173.0","20.920991117344556","673996.25","607649.5700000001"
"平成23年","4948.55","13.44681338835396","6228.889999999999","20.411560023197353","655464.74","681111.86"
"平成24年","5200.0","5.081286437441264","7040.0","13.021742236578277","637475.72","706886.29"
"平成25年","6173.0","18.711538461538453","6409.0","-8.963068181818173","697741.92","812425.44"
"平成26年","6122.0","-0.826178519358507","6395.0","-0.21844281479170036","730930.28311","859091.12733"
"平成19年1-3月","1345.0","17.058311575282858","1268.0","2.8386050283860413","198817.46000000002","173158.46000000002"
"平成19年4-6月","1407.0","25.5129348795718","1626.0","7.824933687002655","204873.90999999997","179428.34"
"平成19年7-9月","1520.0","15.413819286256654","1414.0","-7.339449541284409","213532.56","183189.75"
"平成19年10-12月","1457.0","19.32841932841933","1557.0","24.659727782225787","222090.44999999998","195582.66999999998"
"平成20年1-3月","1431.0","6.394052044609651","1720.0","35.64668769716087","210636.90000000002","191379.99"
"平成20年4-6月","1616.0","14.854299928926793","2261.0","39.052890528905294","208483.61","199444.24"
"平成20年7-9月","1973.0","29.80263157894737","2580.0","82.46110325318244","220372.40000000002","221785.86000000002"
"平成20年10-12月","1413.0","-3.0199039121482514","1328.0","-14.707771355170195","170687.97","176937.43"
"平成21年1-3月","1171.0","-18.169112508735154","897.0","-47.84883720930233","111911.94","120936.91"
"平成21年4-6月","1135.0","-29.76485148514851","1134.0","-49.84520123839009","128090.70000000001","119916.97999999998"
"平成21年7-9月","1076.0","-45.463760770400405","1137.0","-55.93023255813954","144621.91","134136.75"
"平成21年10-12月","925.0","-34.53644727530077","1110.0","-16.415662650602414","157081.6","140003.13999999998"
"平成22年1-3月","1080.0","-7.771135781383435","1110.0","23.745819397993316","160284.59","144151.65"
"平成22年4-6月","1191.0","4.933920704845818","1506.0","32.80423280423281","170655.68","153566.77"
"平成22年7-9月","1094.0","1.672862453531593","1337.0","17.5901495162709","170312.97","154086.19"
"平成22年10-12月","997.0","7.7837837837837895","1220.0","9.909909909909913","172743.01","155844.96"
"平成23年1-3月","1207.13","11.771296296296299","1363.5","22.83783783783784","164176.7","161069.12"
"平成23年4-6月","1259.59","5.759026028547424","1801.37","19.612881806108902","156905.58000000002","169645.27000000002"
"平成23年7-9月","1274.64","16.511882998171856","1498.0300000000002","12.044128646222902","171112.63","175302.05"
"平成23年10-12月","1207.19","21.082246740220683","1565.99","28.359836065573774","163269.83000000002","175095.42"
"平成24年1-3月","1282.48","6.242078317993901","1941.2999999999997","42.376237623762336","161596.82","177062.98"
"平成24年4-6月","1355.21","7.5913590930382355","2177.26","20.866895751566886","164436.03","178138.81"
"平成24年7-9月","1333.62","4.6271888533232755","1573.79","5.057308598626193","157145.49","175797.29"
"平成24年10-12月","1228.2","1.740405404285994","1353.73","-13.554364970402105","154297.38","175887.21"
"平成25年1-3月","1451.22","13.15732019212777","1647.27","-15.146036161335175","163520.91","191154.31"
"平成25年4-6月","1588.62","17.22316098612022","1743.09","-19.94111865372075","175995.84999999998","196487.99"
"平成25年7-9月","1583.69","18.751218488025074","1590.8600000000001","1.0846428049485723","177115.57","206586.70999999996"
"平成25年10-12月","1549.15","26.131737502035506","1427.38","5.44052359037623","181109.59","218196.43"
"平成26年1-3月","1760.67","21.323438210608998","2081.85","26.381831757999592","174343.62597","199866.18"
"平成26年4-6月","1667.6399999999999","4.9741284888771276","1723.4099999999999","-1.129029482126569","176132.06688","208711.13"
"平成26年7-9月","1471.1799999999998","-7.104294401050723","1492.84","-6.1614472675156975","182788.22222","226632.79407"
"平成26年10-12月","1222.95","-21.05670851757415","1097.08","-23.140299009373834","197666.36804","213314.19631"
"平成19年1月","360.0","32.35294117647058","565.0","51.88172043010752","59526.72","59508.76"
"平成19年2月","418.0","11.170212765957444","253.0","-35.6234096692112","64161.07","54546.26"
"平成19年3月","567.0","13.173652694610766","450.0","-3.8461538461538396","75129.67","59103.44"
"平成19年4月","430.0","13.756613756613774","465.0","4.260089686098652","66335.04","57304.47"
"平成19年5月","498.0","36.065573770491795","622.0","11.469534050179206","65678.48","61723.02"
"平成19年6月","479.0","27.05570291777188","539.0","6.944444444444443","72860.39","60400.85"
"平成19年7月","539.0","24.768518518518505","493.0","-13.051146384479722","70631.06","63811.48"
"平成19年8月","501.0","14.908256880733944","522.0","4.609218436873746","70346.74","62910.26"
"平成19年9月","480.0","6.904231625835195","399.0","-13.26086956521739","72554.76","56468.01"
"平成19年10月","427.0","5.6930693069306955","391.0","-5.783132530120483","75064.93","65070.53"
"平成19年11月","424.0","13.066666666666677","560.0","27.853881278538807","72685.84","64841.91"
"平成19年12月","606.0","37.104072398190056","606.0","53.03030303030303","74339.68","65670.23"
"平成20年1月","409.0","13.611111111111114","650.0","15.044247787610615","64083.23","65146.35"
